20250616033349,192.168.0.133,5113,192.168.0.123,34255,3,0.0-1.0,862890,6903120,0.096,0,587,0.000,0
20250616033350,192.168.0.133,5113,192.168.0.123,34255,3,1.0-2.0,861420,6891360,0.088,0,586,0.000,0
20250616033351,192.168.0.133,5113,192.168.0.123,34255,3,2.0-3.0,861420,6891360,0.066,0,586,0.000,0
20250616033352,192.168.0.133,5113,192.168.0.123,34255,3,3.0-4.0,861420,6891360,0.096,0,586,0.000,1
20250616033353,192.168.0.133,5113,192.168.0.123,34255,3,4.0-5.0,861420,6891360,0.077,0,586,0.000,0
20250616033354,192.168.0.133,5113,192.168.0.123,34255,3,5.0-6.0,861420,6891360,0.081,0,586,0.000,0
20250616033355,192.168.0.133,5113,192.168.0.123,34255,3,6.0-7.0,861420,6891360,0.085,0,586,0.000,0
20250616033356,192.168.0.133,5113,192.168.0.123,34255,3,7.0-8.0,861420,6891360,0.080,0,586,0.000,0
20250616033357,192.168.0.133,5113,192.168.0.123,34255,3,8.0-9.0,861420,6891360,0.073,0,586,0.000,0
20250616033358,192.168.0.133,5113,192.168.0.123,34255,3,9.0-10.0,821730,6573840,0.978,0,559,0.000,1
20250616033359,192.168.0.133,5113,192.168.0.123,34255,3,10.0-11.0,895230,7161840,0.127,0,609,0.000,0
20250616033400,192.168.0.133,5113,192.168.0.123,34255,3,11.0-12.0,807030,6456240,2.115,0,549,0.000,5
20250616033401,192.168.0.133,5113,192.168.0.123,34255,3,12.0-13.0,893760,7150080,0.116,0,608,0.000,0
20250616033402,192.168.0.133,5113,192.168.0.123,34255,3,13.0-14.0,889350,7114800,0.126,0,605,0.000,0
20250616033403,192.168.0.133,5113,192.168.0.123,34255,3,14.0-15.0,861420,6891360,0.176,0,586,0.000,0
20250616033404,192.168.0.133,5113,192.168.0.123,34255,3,15.0-16.0,859950,6879600,0.105,0,585,0.000,0
20250616033405,192.168.0.133,5113,192.168.0.123,34255,3,16.0-17.0,862890,6903120,0.162,0,587,0.000,0
20250616033406,192.168.0.133,5113,192.168.0.123,34255,3,17.0-18.0,861420,6891360,0.104,0,586,0.000,0
20250616033407,192.168.0.133,5113,192.168.0.123,34255,3,18.0-19.0,861420,6891360,0.095,0,586,0.000,0
20250616033408,192.168.0.133,5113,192.168.0.123,34255,3,19.0-20.0,861420,6891360,0.119,0,586,0.000,0
20250616033409,192.168.0.133,5113,192.168.0.123,34255,3,20.0-21.0,861420,6891360,0.104,0,586,0.000,0
20250616033410,192.168.0.133,5113,192.168.0.123,34255,3,21.0-22.0,859950,6879600,0.133,0,585,0.000,0
20250616033411,192.168.0.133,5113,192.168.0.123,34255,3,22.0-23.0,861420,6891360,0.106,0,586,0.000,0
20250616033412,192.168.0.133,5113,192.168.0.123,34255,3,23.0-24.0,861420,6891360,0.114,0,586,0.000,0
20250616033413,192.168.0.133,5113,192.168.0.123,34255,3,24.0-25.0,861420,6891360,0.146,0,586,0.000,0
20250616033414,192.168.0.133,5113,192.168.0.123,34255,3,25.0-26.0,861420,6891360,0.151,0,586,0.000,0
20250616033415,192.168.0.133,5113,192.168.0.123,34255,3,26.0-27.0,861420,6891360,0.091,0,586,0.000,1
20250616033416,192.168.0.133,5113,192.168.0.123,34255,3,27.0-28.0,827610,6620880,1.329,0,563,0.000,4
20250616033417,192.168.0.133,5113,192.168.0.123,34255,3,28.0-29.0,890820,7126560,0.150,0,606,0.000,0
20250616033418,192.168.0.133,5113,192.168.0.123,34255,3,29.0-30.0,865830,6926640,0.131,0,589,0.000,0
20250616033419,192.168.0.133,5113,192.168.0.123,34255,3,30.0-31.0,861420,6891360,0.099,0,586,0.000,0
20250616033419,192.168.0.133,5113,192.168.0.123,34255,3,0.0-31.0,26704020,6891280,0.099,0,18166,0.000,12
20250616033422,192.168.0.133,5113,192.168.0.123,53245,4,0.0-1.0,1006950,8055600,0.093,0,685,0.000,0
20250616033423,192.168.0.133,5113,192.168.0.123,53245,4,1.0-2.0,1005480,8043840,0.141,0,684,0.000,0
20250616033424,192.168.0.133,5113,192.168.0.123,53245,4,2.0-3.0,1004010,8032080,0.088,0,683,0.000,0
20250616033425,192.168.0.133,5113,192.168.0.123,53245,4,3.0-4.0,1005480,8043840,0.102,0,684,0.000,1
