loading app allocation_app.py
loading app ryu.app.ofctl_rest
loading app ryu.controller.ofp_handler
instantiating app None of DPSet
creating context dpset
creating context wsgi
instantiating app allocation_app.py of SimpleMonitor13
instantiating app ryu.app.ofctl_rest of RestStatsApi
instantiating app ryu.controller.ofp_handler of OFPHandler
(18533) wsgi starting up on http://0.0.0.0:8080
packet in 2 00:00:00:00:00:22 00:00:00:00:00:31 1
packet in 3 00:00:00:00:00:22 00:00:00:00:00:31 1
packet in 4 00:00:00:00:00:22 00:00:00:00:00:31 5
packet in 1 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 2
packet in 2 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:32 00:00:00:00:00:22 2
packet in 3 00:00:00:00:00:32 00:00:00:00:00:22 2
packet in 2 00:00:00:00:00:32 00:00:00:00:00:22 2
packet in 1 00:00:00:00:00:32 00:00:00:00:00:22 5
packet in 1 00:00:00:00:00:22 00:00:00:00:00:32 2
packet in 2 00:00:00:00:00:22 00:00:00:00:00:32 1
packet in 3 00:00:00:00:00:22 00:00:00:00:00:32 1
packet in 4 00:00:00:00:00:22 00:00:00:00:00:32 5
packet in 1 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 2
packet in 2 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:33 00:00:00:00:00:22 3
packet in 3 00:00:00:00:00:33 00:00:00:00:00:22 2
packet in 2 00:00:00:00:00:33 00:00:00:00:00:22 2
packet in 1 00:00:00:00:00:33 00:00:00:00:00:22 5
packet in 1 00:00:00:00:00:22 00:00:00:00:00:33 2
packet in 2 00:00:00:00:00:22 00:00:00:00:00:33 1
packet in 3 00:00:00:00:00:22 00:00:00:00:00:33 1
packet in 4 00:00:00:00:00:22 00:00:00:00:00:33 5
packet in 1 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 2
packet in 2 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:22 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:34 00:00:00:00:00:22 4
packet in 3 00:00:00:00:00:34 00:00:00:00:00:22 2
packet in 2 00:00:00:00:00:34 00:00:00:00:00:22 2
packet in 1 00:00:00:00:00:34 00:00:00:00:00:22 5
packet in 1 00:00:00:00:00:22 00:00:00:00:00:34 2
packet in 2 00:00:00:00:00:22 00:00:00:00:00:34 1
packet in 3 00:00:00:00:00:22 00:00:00:00:00:34 1
packet in 4 00:00:00:00:00:22 00:00:00:00:00:34 5
packet in 1 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 3
packet in 1 00:00:00:00:00:24 00:00:00:00:00:23 4
packet in 2 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 1
packet in 1 00:00:00:00:00:23 00:00:00:00:00:24 3
packet in 3 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 5
packet in 1 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 3
packet in 2 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:23 ff:ff:ff:ff:ff:ff 1
