loading app allocation_app.py
loading app ryu.app.ofctl_rest
loading app ryu.controller.ofp_handler
instantiating app None of DPSet
creating context dpset
creating context wsgi
instantiating app allocation_app.py of SimpleMonitor13
instantiating app ryu.app.ofctl_rest of RestStatsApi
instantiating app ryu.controller.ofp_handler of OFPHandler
(22719) wsgi starting up on http://0.0.0.0:8080
packet in 1 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 1 00:00:00:00:00:22 00:00:00:00:00:21 2
packet in 2 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 1 00:00:00:00:00:21 00:00:00:00:00:22 1
packet in 3 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 5
packet in 1 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 1 00:00:00:00:00:23 00:00:00:00:00:21 3
packet in 2 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 1 00:00:00:00:00:21 00:00:00:00:00:23 1
packet in 3 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 5
packet in 1 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 1 00:00:00:00:00:24 00:00:00:00:00:21 4
packet in 2 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 1 00:00:00:00:00:21 00:00:00:00:00:24 1
packet in 3 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 1 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 5
packet in 2 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:31 00:00:00:00:00:21 1
packet in 3 00:00:00:00:00:31 00:00:00:00:00:21 2
packet in 2 00:00:00:00:00:31 00:00:00:00:00:21 2
packet in 1 00:00:00:00:00:31 00:00:00:00:00:21 5
packet in 1 00:00:00:00:00:21 00:00:00:00:00:31 1
packet in 2 00:00:00:00:00:21 00:00:00:00:00:31 1
packet in 3 00:00:00:00:00:21 00:00:00:00:00:31 1
packet in 4 00:00:00:00:00:21 00:00:00:00:00:31 5
packet in 1 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 2 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:32 00:00:00:00:00:21 2
packet in 3 00:00:00:00:00:32 00:00:00:00:00:21 2
packet in 2 00:00:00:00:00:32 00:00:00:00:00:21 2
packet in 1 00:00:00:00:00:32 00:00:00:00:00:21 5
packet in 1 00:00:00:00:00:21 00:00:00:00:00:32 1
packet in 2 00:00:00:00:00:21 00:00:00:00:00:32 1
packet in 3 00:00:00:00:00:21 00:00:00:00:00:32 1
packet in 4 00:00:00:00:00:21 00:00:00:00:00:32 5
packet in 1 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 2 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 3 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
packet in 4 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 5
packet in 4 00:00:00:00:00:33 00:00:00:00:00:21 3
packet in 3 00:00:00:00:00:33 00:00:00:00:00:21 2
packet in 2 00:00:00:00:00:33 00:00:00:00:00:21 2
packet in 1 00:00:00:00:00:33 00:00:00:00:00:21 5
packet in 1 00:00:00:00:00:21 00:00:00:00:00:33 1
packet in 2 00:00:00:00:00:21 00:00:00:00:00:33 1
packet in 3 00:00:00:00:00:21 00:00:00:00:00:33 1
packet in 4 00:00:00:00:00:21 00:00:00:00:00:33 5
packet in 1 00:00:00:00:00:21 ff:ff:ff:ff:ff:ff 1
